id_bien;com_code;Code postal;Nombre pieces principales;Surface Carrez du 1er lot;Type local
22350;94067;94160;3;57.77;Appartement
22351;94067;94160;3;59.11;Appartement
22352;94068;94100;5;96.44;Appartement
22353;94068;94100;1;27.49;Appartement
22354;94068;94210;1;27.24;Appartement
22355;94069;94410;2;36.11;Appartement
22356;94073;94320;3;65.65;Appartement
22357;94074;94460;3;63.19;Appartement
22358;94078;94190;4;80.46;Appartement
22359;94081;94400;5;78.16;Appartement
22360;95018;95100;4;76.46;Appartement
22361;95051;95250;2;52.86;Appartement
22362;95127;95000;3;72.08;Appartement
22363;95142;95750;2;62.92;Appartement
22364;95176;95240;1;22.81;Appartement
22365;95197;95170;4;99.74;Appartement
22366;95210;95880;1;31.74;Appartement
22367;95210;95880;4;88.26;Appartement
22368;95252;95130;5;88.14;Appartement
22369;95306;95220;2;37.45;Appartement
22370;95369;95580;2;31.01;Appartement
22371;95392;95630;2;44.38;Appartement
22372;95428;95160;3;51.01;Appartement
22373;95428;95160;1;19.95;Appartement
22374;95539;95350;3;75.47;Appartement
22375;95572;95310;3;61.26;Appartement
22376;95574;95390;2;36.8;Appartement
22377;95582;95110;1;31.68;Appartement
22378;972229;97233;1;22.94;Appartement
22379;974415;97434;2;45.74;Appartement
22380;1143;1220;5;96.46;Maison
22381;1160;1210;0;2.36;Appartement
22382;1401;1630;4;87.23;Appartement
22383;3321;3400;2;40.06;Appartement
22384;4019;4400;2;46.21;Appartement
22385;6004;6160;2;30.16;Appartement
22386;6004;6600;3;57.83;Appartement
22387;6012;6240;2;33.88;Appartement
22388;6027;6800;3;57.02;Appartement
22389;6030;6110;2;38.2;Appartement
22390;6088;6200;4;84.63;Maison
22391;6088;6100;3;44.11;Appartement
22392;6088;6100;4;52.32;Appartement
22393;6088;6300;1;16.8;Appartement
22394;6088;6300;2;36.55;Appartement
22395;6088;6300;3;33.04;Appartement
22396;6088;6000;1;43.68;Appartement
22397;6088;6000;1;34.33;Appartement
22398;6088;6100;1;13.71;Appartement
22399;6114;6730;4;86.05;Appartement
22400;6155;6220;1;25.22;Appartement
22401;10362;10300;2;36.3;Appartement
22402;11069;11000;3;67.44;Maison
22403;11145;11560;1;17.32;Appartement
22404;11203;11200;4;74.52;Maison
22405;11262;11100;1;23.41;Appartement
22406;11262;11100;4;98.05;Appartement
22407;11262;11100;2;38.15;Appartement
22408;13211;13011;2;40.17;Appartement
22409;13212;13012;3;50.1;Appartement
22410;13213;13013;4;59.97;Appartement
22411;14715;14360;2;31.39;Appartement
22412;16341;16470;2;48.42;Appartement
22413;17299;17300;4;69.66;Appartement
22414;18157;18570;3;68.65;Maison
22415;19031;19100;1;20.79;Appartement
22416;22050;22100;3;38.99;Appartement
22417;22093;22400;1;36.3;Appartement
22418;22118;22100;3;60.54;Appartement
22419;22179;22240;1;26.61;Appartement
22420;22278;22000;3;115.68;Appartement
22421;25056;25000;2;47.1;Appartement
22422;25204;25300;3;58.34;Appartement
22423;26198;26200;3;52.16;Appartement
22424;26250;26600;3;78.03;Appartement
22425;26281;26100;2;94;Appartement
22426;28085;28000;1;37.44;Appartement
22427;28088;28200;3;82.71;Appartement
22428;28279;28210;3;46.76;Maison
22429;29233;29300;4;56.57;Appartement
22430;2A004;20090;1;31.54;Appartement
22431;2A004;20090;2;40.3;Appartement
22432;2A098;20138;4;95.51;Maison
22433;2A212;20115;1;16.98;Appartement
22434;2A288;20146;3;91.91;Maison
22435;30003;30220;4;106.68;Maison
22436;30133;30240;4;107.15;Maison
22437;30258;30800;3;52.6;Appartement
22438;31555;31200;3;54.44;Appartement
22439;31555;31400;1;16.72;Appartement
22440;31555;31500;2;37.2;Appartement
22441;31555;31300;3;64.01;Appartement
22442;32013;32000;3;55.45;Appartement
22443;33003;33440;2;47.7;Appartement
22444;33011;33740;3;53.04;Maison
22445;33011;33740;2;31.99;Maison
22446;33011;33740;5;118.7;Maison
22447;33063;33800;1;22.6;Appartement
22448;33069;33110;4;67.41;Appartement
22449;33119;33150;4;90.13;Appartement
22450;33119;33150;4;75.97;Appartement
22451;33199;33470;3;63.05;Appartement
22452;33214;33680;2;30.59;Appartement
22453;33236;33950;3;68.87;Appartement
22454;33238;33850;4;93.38;Maison
22455;33249;33310;4;80.97;Appartement
22456;33281;33700;4;82.3;Appartement
22457;33281;33700;3;81.49;Appartement
22458;33318;33600;2;58.21;Appartement
22459;33449;33160;2;40.41;Appartement
22460;33522;33400;2;30.9;Appartement
22461;33527;33470;4;91.13;Maison
22462;34003;34300;1;23.6;Appartement
22463;34023;34540;2;48.27;Appartement
22464;34037;34760;3;67.17;Appartement
22465;34192;34250;1;24.71;Appartement
22466;34301;34200;4;55.6;Appartement
22467;34344;34280;2;24.79;Appartement
22468;34344;34280;1;20;Appartement
22469;35122;35350;2;36.8;Appartement
22470;35126;35580;4;88.03;Appartement
22471;35179;35540;4;90.24;Maison
22472;35238;35700;2;37.66;Appartement
22473;35240;35650;4;82.58;Appartement
22474;35288;35400;1;18.2;Appartement
22475;37050;37170;2;44.38;Appartement
22476;37261;37000;1;17.41;Appartement
22477;37261;37000;1;38.96;Appartement
22478;37261;37000;1;39.94;Appartement
22479;38169;38600;4;72.19;Appartement
22480;38185;38000;3;86.96;Appartement
22481;38185;38100;4;92.05;Appartement
22482;38185;38100;4;69.8;Appartement
22483;38185;38100;4;60.75;Appartement
22484;38185;38000;3;67.94;Appartement
